"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marquise Brown","BAL","37.1","539.7","3.3","5.9","37.7","0.0","0.8","76.5"
"Paul Richardson","WAS","38.9","569.6","3.0","1.8","11.7","0.0","0.1","76.1"
"Quincy Enunwa","NYJ","47.1","589.3","3.0","0.7","0.1","0.0","0.4","75.9"
"Zay Jones","BUF","40.9","518.1","4.0","0.6","4.2","0.0","0.4","75.6"
"Robert Foster","BUF","32.8","537.5","3.5","0.0","0.0","0.0","0.1","74.6"
"Josh Doctson","WAS","42.5","554.3","3.2","0.1","-0.3","0.0","0.1","74.4"
"Deebo Samuel","SF","43.3","556.8","3.1","1.4","8.8","0.0","0.8","73.8"
"Taylor Gabriel","CHI","46.9","530.1","2.8","5.3","39.1","0.1","0.5","73.2"
"David Moore","SEA","31.8","460.1","3.7","0.4","1.9","0.0","0.1","68.6"
"A.J. Brown","TEN","40.0","515.2","2.9","0.0","0.0","0.0","0.1","68.5"
"Cole Beasley","BUF","46.7","527.5","2.6","0.0","0.0","0.0","0.1","68.3"
"Danny Amendola","DET","53.8","526.4","2.7","0.9","3.7","0.0","0.4","68.2"
"Tre'Quan Smith","NO","33.1","473.7","3.4","0.4","1.7","0.0","0.1","67.9"
"Willie Snead","BAL","47.6","531.8","2.5","0.7","4.6","0.0","0.5","67.5"
"Randall Cobb","DAL","45.4","489.9","2.6","2.5","10.1","0.0","0.4","65.1"
"Nelson Agholor","PHI","36.5","446.0","3.0","3.0","23.1","0.1","0.4","64.2"
"Rashard Higgins","CLE","33.8","458.4","3.1","0.1","0.7","0.0","0.4","63.7"
"Breshad Perriman","TB","29.4","474.1","2.5","2.3","6.5","0.0","0.1","62.8"
"Trey Quinn","WAS","39.2","440.3","2.3","1.4","7.5","0.0","0.1","58.8"
"Andy Isabella","ARI","32.6","410.1","2.5","1.3","8.1","0.0","0.1","56.8"
"Demarcus Robinson","KC","28.2","388.3","3.0","0.0","0.0","0.0","0.0","56.5"
"John Ross","CIN","28.2","324.3","3.7","2.9","11.6","0.0","0.1","55.6"
"Travis Benjamin","LAC","23.5","360.0","2.0","5.9","36.6","0.4","0.1","53.9"
"Mecole Hardman","KC","23.6","345.6","2.4","4.8","30.6","0.3","0.4","53.5"
"Chris Conley","JAC","31.6","402.0","2.2","0.0","0.0","0.0","0.2","53.2"
"Miles Boykin","BAL","26.2","379.0","2.4","1.0","4.7","0.0","0.4","51.7"
"Cody Latimer","NYG","23.2","362.7","2.2","0.0","0.0","0.0","0.0","49.1"
"D.J. Chark","JAC","32.5","405.7","1.7","0.0","0.0","0.0","1.1","48.7"
"Antonio Callaway","CLE","24.6","335.6","2.5","1.0","3.9","0.0","0.4","48.0"
"Hunter Renfrow","OAK","32.7","358.8","1.8","0.0","0.0","0.0","0.1","46.7"
"Phillip Dorsett","NE","24.0","303.1","2.2","1.8","12.0","0.0","0.0","44.9"
"Equanimeous St. Brown","GB","24.1","326.9","1.8","0.4","3.0","0.0","0.0","44.0"
"Terry McLaurin","WAS","26.6","331.8","1.8","0.0","0.0","0.0","0.1","43.9"
"Chris Hogan","CAR","21.3","310.2","1.8","0.1","0.3","0.0","0.1","41.5"
"Jermaine Kearse","DET","31.0","326.8","1.6","0.0","-0.1","0.0","0.5","41.3"
"Demaryius Thomas","NE","23.4","293.2","2.0","0.0","0.0","0.0","0.0","41.1"
"Josh Reynolds","LAR","19.6","264.9","2.2","2.2","14.0","0.0","0.0","41.0"
"Keelan Cole","JAC","23.1","302.5","1.6","0.0","0.0","0.0","0.1","39.6"
"Kendrick Bourne","SF","21.3","270.5","1.6","0.0","0.1","0.0","0.0","36.5"
"Tim Patrick","DEN","20.6","286.6","1.1","2.1","7.5","0.0","0.1","36.0"
"Hakeem Butler","ARI","19.1","255.9","1.7","0.0","0.0","0.0","0.1","35.9"
"J.J. Arcega-Whiteside","PHI","19.8","259.0","1.6","0.0","0.0","0.0","0.1","35.5"
"Chester Rogers","IND","20.9","249.0","1.6","0.8","4.9","0.0","0.0","35.1"
"KeeSean Johnson","ARI","19.9","257.4","1.5","0.0","0.0","0.0","0.1","34.7"
"Keith Kirkwood","NO","18.1","246.7","1.6","0.0","0.0","0.0","0.0","34.5"
"Jarius Wright","CAR","22.2","257.8","1.3","1.5","10.8","0.0","0.2","34.3"
"Chad Beebe","MIN","22.2","238.6","1.7","0.0","0.0","0.0","0.1","33.8"
"Jakeem Grant","MIA","19.2","255.8","1.2","0.3","0.8","0.0","0.1","32.9"
"Cordarrelle Patterson","CHI","12.9","149.7","0.9","12.7","76.9","0.6","0.1","31.5"
"Seth Roberts","BAL","18.9","239.5","1.2","0.1","1.0","0.0","0.0","31.3"
"Ryan Switzer","PIT","21.6","222.2","1.0","2.6","14.4","0.2","0.1","30.8"
"Jaron Brown","SEA","13.8","198.6","1.5","0.3","3.6","0.1","0.0","29.7"
"Laquon Treadwell","MIN","21.2","217.8","1.3","0.0","0.0","0.0","0.0","29.7"
"Bennie Fowler","NYG","14.0","210.2","1.3","0.0","0.0","0.0","0.0","28.5"
"Marcell Ateman","OAK","16.5","218.6","1.1","0.0","0.0","0.0","0.1","28.3"
"Chris Moore","BAL","15.2","201.9","0.8","2.1","11.1","0.0","0.1","26.4"
"Aldrick Robinson","CAR","9.1","132.3","2.2","0.0","0.0","0.0","0.0","26.2"
"Justin Hardy","ATL","15.6","183.1","1.2","0.0","0.0","0.0","0.0","25.3"
"Darius Slayton","NYG","13.4","193.9","1.0","0.0","0.0","0.0","0.1","25.3"
"Tavon Austin","DAL","11.4","139.2","0.6","11.2","66.1","0.1","0.1","24.8"
"Jalen Hurd","SF","11.4","139.8","0.8","6.6","40.3","0.3","0.1","24.4"
"Ryan Grant","OAK","16.4","194.9","0.8","0.0","0.0","0.0","0.0","24.2"
"Preston Williams","MIA","14.8","188.3","0.8","0.0","0.0","0.0","0.1","23.7"
"Taywan Taylor","TEN","14.9","181.6","0.9","0.2","1.4","0.0","0.0","23.6"
"Jordan Matthews","SF","11.1","167.4","1.1","0.0","0.0","0.0","0.0","23.5"
"Justin Watson","TB","13.5","174.4","1.0","0.0","0.0","0.0","0.1","23.4"
"Diontae Johnson","PIT","14.4","193.9","0.7","0.0","0.0","0.0","0.1","23.3"
"Trent Taylor","SF","15.7","178.0","0.9","0.0","0.0","0.0","0.1","22.9"
"Jordan Taylor","MIN","15.5","179.6","0.8","0.0","0.0","0.0","0.1","22.8"
"Jakobi Meyers","NE","13.3","165.7","1.0","0.0","0.0","0.0","0.0","22.2"
"Dontrelle Inman","NE","11.5","150.9","1.1","0.0","0.0","0.0","0.0","21.7"
"J.J. Nelson","OAK","12.3","162.2","0.7","1.3","7.6","0.0","0.1","21.5"
"Eli Rogers","PIT","15.2","166.9","0.7","0.9","4.2","0.0","0.0","21.1"
"Gary Jennings","SEA","12.1","155.1","0.8","0.0","0.0","0.0","0.1","20.4"
"Tajae Sharpe","TEN","11.3","147.0","0.7","0.1","0.3","0.0","0.0","19.0"
"Jake Kumerow","GB","10.3","132.6","0.9","0.0","0.0","0.0","0.0","18.6"
"Allen Hurns","MIA","9.7","134.0","0.8","0.0","0.0","0.0","0.1","18.2"
"Deon Cain","IND","10.8","129.8","0.8","0.0","0.0","0.0","0.1","17.9"
"Torrey Smith","CAR","9.4","148.0","0.5","0.1","1.0","0.0","0.0","17.7"
"Maurice Harris","NE","8.9","123.2","0.9","0.5","2.1","0.0","0.0","17.6"
"Bobo Wilson","TB","11.3","135.2","0.6","0.3","2.5","0.0","0.0","17.6"
"Alex Erickson","CIN","10.5","126.7","0.6","0.9","5.1","0.0","0.0","17.0"
"Zach Pascal","IND","9.4","125.4","0.7","0.1","0.2","0.0","0.0","16.8"
"Travis Fulgham","DET","9.8","125.9","0.7","0.0","0.0","0.0","0.1","16.5"
"Russell Shepard","NYG","8.3","120.9","0.7","0.0","0.1","0.0","0.0","16.4"
"Kelvin Harmon","WAS","8.4","106.5","0.6","0.0","0.0","0.0","0.1","14.0"
"Riley Ridley","CHI","8.3","105.3","0.6","0.0","0.0","0.0","0.0","14.0"
"Austin Carr","NO","6.9","89.8","0.8","0.0","0.0","0.0","0.0","13.9"
"Isaiah McKenzie","BUF","7.0","88.6","0.5","2.3","16.8","0.1","0.0","13.8"
"Cody Core","CIN","9.5","111.6","0.4","0.0","0.0","0.0","0.0","13.7"
"Russell Gage","ATL","7.7","97.2","0.6","0.0","0.0","0.0","0.0","13.2"
"DeAndre Carter","HOU","8.0","93.7","0.6","0.1","0.2","0.0","0.0","13.1"
"Chris Lacy","DET","8.8","99.6","0.5","0.0","0.0","0.0","0.1","13.0"
"TJ Jones","NYG","7.7","94.0","0.5","0.0","0.0","0.0","0.0","12.4"
"Artavis Scott","LAC","7.2","89.9","0.5","0.0","0.0","0.0","0.0","12.1"
"Mack Hollins","PHI","4.8","81.4","0.6","0.0","0.0","0.0","0.0","11.6"
"Geremy Davis","LAC","6.0","83.2","0.5","0.0","0.0","0.0","0.0","11.1"
"Byron Marshall","WAS","5.4","97.4","0.2","0.4","1.0","0.0","0.0","11.0"
"Josh Bellamy","NYJ","5.4","81.5","0.5","0.1","-0.1","0.0","0.0","10.9"
"Vyncint Smith","HOU","5.6","78.4","0.5","0.0","0.0","0.0","0.0","10.5"
"Andy Jones","DET","7.4","91.7","0.2","0.0","0.0","0.0","0.0","10.5"
"Jaelen Strong","CLE","3.8","67.4","0.6","0.0","0.0","0.0","0.0","10.3"
"Amara Darboh","SEA","6.1","70.4","0.5","0.0","0.0","0.0","0.0","9.9"
"Josh Malone","CIN","7.0","86.1","0.2","0.3","-0.2","0.0","0.0","9.7"
"Derrick Willies","CLE","5.1","70.2","0.5","0.0","0.0","0.0","0.0","9.7"
"Brian Quick","WAS","5.7","68.7","0.4","0.0","0.0","0.0","0.0","9.1"
"Noah Brown","DAL","5.2","69.1","0.4","0.0","0.0","0.0","0.0","9.0"
"Trevor Davis","GB","4.9","65.3","0.4","0.0","0.4","0.0","0.0","8.9"
"Brandon Zylstra","MIN","4.7","64.1","0.4","0.0","0.0","0.0","0.0","8.8"
"K.J. Brent","TB","7.4","66.5","0.3","0.0","0.0","0.0","0.0","8.4"
"Vince Mayle","LAC","2.6","44.8","0.6","0.1","-0.1","0.0","0.0","8.2"
"Damion Ratley","CLE","3.8","53.8","0.5","0.0","0.0","0.0","0.0","8.1"
"Richie James","SF","5.3","67.9","0.2","0.0","0.0","0.0","0.0","7.8"
"Deontay Burnett","NYJ","4.7","52.2","0.4","0.0","0.0","0.0","0.0","7.6"
"Kevin White","ARI","4.2","57.2","0.3","0.0","0.0","0.0","0.0","7.5"
"Marvin Hall","CHI","3.9","58.3","0.3","0.0","0.0","0.0","0.0","7.3"
"Darvin Kidsy","WAS","2.9","44.5","0.5","0.0","0.0","0.0","0.0","7.3"
"Darius Jennings","TEN","5.5","56.4","0.3","0.5","1.1","0.0","0.0","7.3"
"Brice Butler","MIA","5.0","65.0","0.1","0.0","0.0","0.0","0.0","7.2"
"Ray-Ray McCloud","BUF","2.0","40.0","0.2","3.4","15.9","0.1","0.0","7.1"
"Jehu Chesson","WAS","3.4","50.1","0.3","0.1","0.1","0.0","0.0","6.8"
"Terry Godwin","CAR","3.8","51.1","0.3","0.0","0.0","0.0","0.0","6.7"
"Tommylee Lewis","DET","4.0","44.7","0.4","0.2","1.0","0.0","0.0","6.6"
"Dwayne Harris","OAK","4.7","54.1","0.0","1.3","7.7","0.0","0.0","6.6"
"River Cracraft","DEN","2.1","39.1","0.2","0.0","0.0","0.0","0.0","5.3"
"JoJo Natson","LAR","1.8","43.0","0.2","0.1","0.0","0.0","0.0","5.2"
"Olabisi Johnson","MIN","3.2","39.5","0.2","0.0","0.0","0.0","0.0","5.2"
"Greg Dortch","NYJ","3.0","38.7","0.2","0.0","0.0","0.0","0.0","5.2"
"Gehrig Dieter","KC","3.1","36.2","0.3","0.0","0.0","0.0","0.0","5.2"
"Braxton Miller","PHI","2.8","37.3","0.2","0.0","0.1","0.0","0.0","5.2"
"Tanner Gentry","CHI","2.8","38.5","0.2","0.0","0.0","0.0","0.0","5.1"
"Terrelle Pryor","JAC","2.8","37.8","0.2","0.0","0.0","0.0","0.0","4.9"
"Cam Sims","WAS","3.2","39.1","0.2","0.0","0.0","0.0","0.0","4.9"
"Marcus Kemp","KC","3.0","40.0","0.1","0.0","0.3","0.0","0.0","4.9"
"Javon Wims","CHI","2.4","35.3","0.2","0.0","0.0","0.0","0.0","4.8"
"Quadree Henderson","JAC","2.6","31.7","0.2","0.0","0.0","0.0","0.0","4.5"
"Kalif Raymond","TEN","3.0","34.5","0.2","0.0","0.0","0.0","0.0","4.4"
"Hunter Sharp","CIN","2.5","33.3","0.2","0.0","0.0","0.0","0.0","4.4"
"Rashad Ross","CAR","1.6","20.4","0.4","0.0","0.0","0.0","0.0","4.3"
"Jaleel Scott","BAL","2.6","32.5","0.2","0.0","0.0","0.0","0.0","4.1"
"Keon Hatcher","OAK","3.0","36.0","0.1","0.0","0.0","0.0","0.0","4.1"
"Cameron Meredith","NE","3.2","30.8","0.1","0.0","0.0","0.0","0.0","3.8"
"Juwann Winfree","DEN","2.5","30.1","0.1","0.0","0.0","0.0","0.0","3.8"
"Charone Peake","NYJ","1.9","30.6","0.1","0.0","0.0","0.0","0.0","3.8"
"Brandon Powell","DET","3.3","30.8","0.1","0.1","0.1","0.0","0.0","3.7"
"Malik Turner","SEA","2.1","20.3","0.3","0.0","0.0","0.0","0.0","3.5"
"Auden Tate","CIN","2.4","30.4","0.1","0.0","0.0","0.0","0.0","3.4"
"Victor Bolden Jr.","BUF","2.1","28.9","0.1","0.0","0.0","0.0","0.0","3.4"
"Cam Phillips","BUF","1.9","27.5","0.1","0.0","0.0","0.0","0.0","3.3"
"Andre Roberts","BUF","2.6","27.0","0.1","0.0","0.6","0.0","0.0","3.3"
"Johnny Holton","PIT","2.1","25.5","0.1","0.0","0.0","0.0","0.0","3.2"
"Allen Lazard","GB","2.4","24.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Khadarel Hodge","LAR","2.1","23.7","0.1","0.0","0.0","0.0","0.0","3.0"
"Marcus Green","ATL","1.7","21.7","0.1","0.0","0.0","0.0","0.0","3.0"
"Byron Pringle","KC","1.7","21.1","0.2","0.0","0.0","0.0","0.0","3.0"
"Daurice Fountain","IND","1.5","18.8","0.2","0.0","0.0","0.0","0.0","3.0"
"Mike Thomas","LAR","1.6","19.0","0.2","0.0","0.0","0.0","0.0","2.9"
"Devin Smith","DAL","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.9"
"Cedrick Wilson","DAL","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.9"
"Charles Johnson","PHI","1.6","18.4","0.2","0.0","0.0","0.0","0.0","2.9"
"DeAndrew White","CAR","1.3","15.9","0.2","0.0","0.0","0.0","0.0","2.8"
"Isaiah Ford","MIA","1.6","21.9","0.1","0.0","0.0","0.0","0.0","2.7"
"Tim White","NYJ","1.4","17.2","0.1","0.0","0.0","0.0","0.0","2.5"
"Brittan Golden","NYG","1.3","17.5","0.1","0.0","0.0","0.0","0.0","2.5"
"J'Mon Moore","GB","2.2","22.7","0.0","0.0","0.0","0.0","0.0","2.4"
"Pharoh Cooper","ARI","2.7","24.2","0.0","0.1","0.1","0.0","0.0","2.4"
"Chad Hansen","HOU","1.2","16.1","0.1","0.0","0.0","0.0","0.0","2.4"
"Keenan Reynolds","SEA","1.3","16.9","0.1","0.0","0.0","0.0","0.0","2.4"
"Deonte Thompson","NYJ","1.3","15.6","0.1","0.0","0.0","0.0","0.0","2.0"
"J.J. Jones","NYJ","1.1","15.8","0.1","0.1","0.5","0.0","0.0","2.0"
"Nick Williams","DEN","1.1","14.8","0.1","0.0","0.0","0.0","0.0","1.9"
"Chad Williams","ARI","1.0","13.2","0.1","0.0","0.1","0.0","0.0","1.8"
"Michael Floyd","BAL","1.1","13.3","0.1","0.0","0.0","0.0","0.0","1.7"
"Trent Sherfield","ARI","0.9","11.7","0.1","0.0","0.0","0.0","0.0","1.7"
"Krishawn Hogan","IND","0.9","7.9","0.1","0.0","0.0","0.0","0.0","1.4"
"Marcus Johnson","IND","0.8","9.9","0.1","0.0","0.1","0.0","0.0","1.4"
"Damiere Byrd","ARI","1.4","13.7","0.0","0.0","0.1","0.0","0.0","1.4"
"Matt Slater","NE","0.4","4.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Taquan Mizzell","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Simmie Cobbs Jr.","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kelvin McKnight","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alonzo Russell","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Proehl","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Emmanuel Butler","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ricardo Louis","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeAngelo Yancey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jester Weah","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Da'Mari Scott","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lil'Jordan Humphrey","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Lasley","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Gordon","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malachi Dupre","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Ursua","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tre McBride","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carlton Agudosi","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Penny Hart","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Davis","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dillon Mitchell","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Batson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marken Michel","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ashton Dulin","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corey Coleman","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Thompson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner McEvoy","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roger Lewis","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyre Brady","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Antoine Wesley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaydon Mickens","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brendan Langley","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
