"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Tyrod Taylor","LAC","17.6","10.8","128.2","0.7","0.6","2.6","10.2","0.1","0.0","8.3"
"Joshua Dobbs","PIT","21.3","13.1","130.0","0.8","0.7","2.3","9.7","0.0","0.0","8.2"
"Cooper Rush","DAL","20.0","12.3","130.7","0.6","0.3","1.6","7.7","0.0","0.0","8.0"
"Brian Hoyer","NE","18.1","11.0","137.9","0.6","0.7","2.6","4.3","0.1","0.1","7.5"
"Chad Henne","KC","16.5","10.5","126.3","0.6","0.2","1.9","2.8","0.0","0.0","7.3"
"Drew Stanton","CLE","18.1","10.7","141.0","0.6","0.8","1.8","6.5","0.0","0.0","7.2"
"Ryan Finley","CIN","19.2","11.6","126.6","0.9","0.9","0.7","2.5","0.0","0.1","7.1"
"DeShone Kizer","GB","18.5","11.0","118.9","0.5","0.5","2.0","10.3","0.1","0.1","7.0"
"Taylor Heinicke","CAR","18.6","12.2","125.1","0.5","0.6","1.6","7.0","0.1","0.0","6.9"
"Mike Glennon","OAK","19.2","12.3","142.0","0.7","0.5","1.6","1.6","0.0","0.5","6.5"
"AJ McCarron","HOU","15.2","9.5","109.9","0.7","0.4","1.7","2.8","0.0","0.1","6.3"
"Matt Schaub","ATL","16.0","10.1","101.6","0.5","0.3","1.2","3.1","0.0","0.1","5.9"
"Sean Mannion","MIN","13.6","8.3","92.8","0.3","0.1","2.3","4.6","0.1","0.1","5.2"
"Tom Savage","DET","11.7","7.2","77.3","0.5","0.4","1.4","1.8","0.0","0.6","3.3"
"Josh Johnson","DET","3.7","2.1","29.0","0.2","0.2","0.6","11.5","0.1","0.2","2.9"
"Cody Kessler","PHI","2.5","1.6","16.6","0.1","0.0","0.2","0.9","0.0","0.1","1.2"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chad Kelly","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Rudock","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"David Fales","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Hogan","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clayton Thorson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Geno Smith","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Fitzgerald","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Lauletta","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Falk","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex McGough","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Sloter","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Callahan","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Garrett Gilbert","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Allen","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Lee","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jarrett Stidham","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Rudolph","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trace McSorley","BAL","0.0","0.0","0.0","0.0","0.0","5.4","27.5","0.2","0.0","0.0"
""
""
